"%s - Your new password";"%s  - Ваш новый пароль"
"You must be logged in to use a discount";"Вы должны войти в систему, чтобы воспользоваться скидкой"
"or illimited";"или отмена ограничения"
"use only once";"использовать только один раз"
"you'll be able to remove this promotion later";"Вы сможете удалить эту акцию позже"
"Additionnal Information";"Добавить информацию"
"And a radius (in Km):";"Задать радиус в км"
"Android";"Android"
"Creation date";"Дата отправки"
"Enter a location:";"Введите местоположение:"
"GCM Key";"GCM ключ"
"I want to send it";"Я хочу отправить Push-сообщение"
"Keys successfully saved";"Ключи успешно сохранены"
"Message";"Сообщение"
"Message:";"Сообщение:"
"Pending";"В ожидании"
"Push Notifications";"Push-сообщения"
"Push Notifications Settings";"Настройки Push-сообщения"
"Radius";"Радиус"
"Send to a specific location";"Отправить в определенное место"
"Send to all my users";"Послать всем своим пользователям"
"Sender ID";"ID отправителя"
"Sending date";"Дата отправки"
"The duration limit must be higher than the sent date";"Время действия должно быть больше, чем указанная дата"
"Your app must be published to send a push notification.";"Ваше приложение должно быть опубликовано, чтобы отправлять  Push-уведомления."
"Your message has been saved successfully and will be sent at the entered date";"Ваше сообщение было успешно сохранено и будет отправлено в указанную дату."
"Your message has been saved successfully and will be sent in a few minutes";"Ваше сообщение было успешно сохранено и будет отправлено в течение нескольких минут."
"and users entering the area";"и пользователям при входе в зону"
"for a limited period";"в течение ограниченного периода"
"now";"сейчас"
"on a specific date";"на определенную дату"
"%s ago";"%s назад"
"An error occurred while saving your RSS feed";"Произошла ошибка при сохранении вашего потока"
"Display feed pictures whenever possible";"Экран поддерживает фотографии где это возможно"
"Enter the URL of this RSS feed";"Введите адрес этого RSS потока"
"Found feeds";"Найдены потоки"
"No RSS feed could be found";"RSS поток не может быть найден"
"RSS feed successfully saved";"RSS поток успешно сохранены"
"Show article";"Показать статью"
"day";"день"
"hour";"час"
"minute";"минута"
"Action";"Действие"
"App Name";"Имя App"
"Client";"Клиент"
"Date";"Дата"
"Invoice";"Счет-фактура"
"Invoice %s";"Счет-фактура %s"
"Invoice N°";"N° счета"
"List of your invoices";"Список ваших счетов"
"My Invoices";"Мои счета"
"Order";"Заказ"
"Orders";"Заказы"
"Paid At";"Оплата по адресу"
"Paid at:";"Оплата по адресу:"
"Price Excl. Tax";"Цена без учета налога"
"Qty";"Кол-во"
"This feature is not ready yet. Please try again later.";"Эта функция пока не готова. Пожалуйста, повторите попытку позже."
"Total Excl. Tax";"Цена без налога"
"You don't have any invoices yet";"Вы ещё не имеете никаких счетов. "
"An error occurred while loading the videos. Please try again later.";"Произошла ошибка при загрузке видео. Пожалуйста, повторите попытку позже."
"Enter your Facebook Fan Page Id";"Введите ID страницы в Facebook "
"Enter your Facebook Fan Page Id <span class=""required-entry""> *</span>:";"Введите ID страницы в Facebook  <span class=""требует ввода""> *</span>:"
"%s point%s";"%s пункт%s"
"A month";"Месяцы"
"A week";"Недели"
"Challengers";"Претенденты"
"Current game";"Текущая игра"
"Currently no challengers";"В настоящее время отсутствуют претенденты"
"Game Name";"Название игры"
"Game successfully saved";"Игра успешно сохранена"
"Next game";"Следующая игра"
"On the";"На"
"Period";"Период"
"Periodicity";"Периодичность"
"Publication date";"Дата публикации"
"Rank of the month";"Звание месяца"
"Rank of the week";"Звание недели"
"Team Leader";"Лидер группы"
"Source Code";"Исходный код"
"Insert your HTML code:";"Вставьте HTML код:"
"%s Subscription for %s";"%sПодписка на %s"
"<a href=""%s"">Click here</a> to go back to your applications list";"<a href=""%s"">Нажмите здесь</a> чтобы вернуться к списку приложений"
"Active";"Активный"
"An error occurred while processing the payment. For more information, please feel free to contact us.";"Произошла ошибка при обработке платежа. Для получения более подробной информации, пожалуйста, не стесняйтесь обращаться к нам."
"An error occurred while processing your order. Please, try again later.";"Произошла ошибка при обработке вашего заказа. Пожалуйста, повторите попытку позже."
"An error occurred while saving. Please try again later";"Произошла ошибка при сохранении. Пожалуйста, повторите попытку позже"
"An error occurred while saving. The selected subscription is not valid.";"Произошла ошибка при сохранении. Выбранная подписка не действует."
"Are you sure you want to delete this plan?";"Вы уверены, что хотите удалить этот план?"
"Billing Address";"Адрес для выставления счета"
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">to our terms and conditions</a>";"Установив этот флажок вы соглашаетесь <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">чтобы наши условия</a>"
"Charged to your client every month";"Отсылается вашему клиенту каждый месяц"
"Charged to your client every year";"Отсылается вашему клиенту каждый год"
"Charged to your client when placing the order";"Отсылается вашему клиенту при оформлении заказа"
"Choose the subscription that suits you best:";"Выберите подписку, которая подходит вам лучше всего:"
"Create a new subscription";"Создать новую подписку"
"Creation";"Создание"
"Describe here this plan. Will be displayed on the front end";"Опишите здесь этот план. Будет отображаться вначале"
"Each price must be entered excluding tax";"Каждая цена должна быть введена без учета налога"
"Edit the subscription %s";"Редактирование подписки %s"
"Expiration";"Окончание"
"Expiration date";"Дата окончания"
"Give a name to this plan. Will be displayed on the front end";"Дайте имя этому плану. Будет отображаться вначале"
"List of your plans";"Список ваших планов"
"List of your subscriptions";"Список ваших подписок"
"None";"Ни одной"
"One-off";"Один раз"
"Order's details";"Подробности заказа"
"Payment";"Оплата"
"Payment Option";"Способ оплаты"
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />";"Обеспечение оплаты <img src=""%s"" width=""100"" title=""Paypal"" />"
"Please, enter a company";"Пожалуйста, введите имя компании"
"Please, enter a country";"Пожалуйста, введите страну"
"Please, enter a description.";"Пожалуйста, введите описание."
"Please, enter a name.";"Пожалуйста, введите имя."
"Please, enter an address";"Пожалуйста, введите адрес"
"Pricing";"Цены"
"Proceed to payment?";"Порядок оплаты"
"Recurring";"Периодичность"
"Setup Fee";"Способ оплаты"
"Setup fee";"Установленная плата"
"Subscription";"Подписка"
"Subscription successfully saved";"Подписка успешно сохранена"
"Subtotal";"Промежуточный итог"
"Thanks!";"Спасибо!"
"The monthly price is not a valid price (e.g. 12.34)";"Ежемесячно цена не действует, цена (например, 12,34)"
"The setup fee is not a valid price (e.g. 12.34)";"Установочная плата не действует, цена (например, 12,34)"
"The yearly price is not a valid price (e.g. 12.34)";"Ежегодно цена не действует, цена (например, 12,34)"
"This subscription is active";"Эта подписка активна"
"VAT Number";"VAT номер"
"You already have a subscription for this application";"У вас уже есть подписка для этого приложения"
"You don't have any subscriptions yet";"У вас пока нет подписок"
"You're almost done! After subscribing, we will publish your application on both the AppStore and the Google Play.";"Вы почти закончили! После подписки, мы будем публиковать приложения на AppStore и Google Play."
"Your VAT Number is not valid";"Ваш номер VAT не действует"
"Your order has been canceled. If you need any help to place your order, please feel free to contact us.";"Ваш заказ был отменен. Если вам нужна помощь, чтобы оформить заказ, пожалуйста, не стесняйтесь обращаться к нам."
"Your order has been successfully paid. Your application will be published very soon.";"Ваш заказ был успешно оплачен. Ваша заявка будет опубликована в ближайшее время."
"Your subscription must have at least one price";"Ваша подписка должна иметь по крайней мере одну цену"
"price";"цена"
"<b>File types:</b> %s<br /><b>Recommended size:</b> %s";"<b>Типы файлов:</b> %s<br /><b>Рекомендуемый размер:</b> %s"
"Click here to send your favicon";"Нажмите здесь, чтобы загрузить favicon сайта"
"Click here to send your logo";"Нажмите здесь, чтобы загрузить ваш логотип"
"Communications";"Связи"
"Current favicon";"Текущий Favicon"
"Current logo";"Текущий логотип"
"Display a link to your clients to your support platform";"Отображать ссылку вашим клиентам на платформу поддержки."
"Drop your favicon here";"Оставьте свой значок сайта здесь"
"Drop your logo here";"Оставьте ваш логотип здесь"
"Sales";"Продажа"
"Sales Email Address";"E-mail адрес продаж"
"Sender's email address of the emails sent by the site to your clients";"Адрес электронной почты отправителя из письма, отправленные на сайт вашим клиентам"
"Sender's name of the emails sent by the site to your clients";"Имя отправителя из письма, отправленные на сайт вашим клиентам"
"Support Email Address";"E-mail адрес поддержки"
"The folder /images/default is not writable.";"Папки / изображения / по умолчанию не доступен для записи."
"Your Location";"Ваше местонахождение"
"Your Platform";"Ваша Платформа"
"Your company";"Ваша компания"
"List of your taxes";"Список ваших налогов"
"Please select a country";"Пожалуйста, выберите страну"
"Please, enter a tax rate.";"Пожалуйста, введите налоговую ставку."
"Please, enter a valid tax rate.";"Пожалуйста, введите действительный налоговую ставку."
"Rate";"Ставка"
"Remove";"Удалить"
"You don't have created any taxes yet";"Вы не создали ещё никаких налогов "
"TEMPLATES";"ШАБЛОНЫ"
"Create a new language";"Создать новый языковой перевод"
"Default text";"Текст по умолчанию"
"Edit the language: %s";"Изменить язык: %s"
"Language";"Язык"
"Language successfully saved";"Перевод успешно сохранен"
"List of your languages";"Список ваших переводов"
"Please, choose a language.";"Пожалуйста, выберите язык."
"Please, choose a file.";"Пожалуйста, выберите файл."
"Select a file";"Выберите файл"
"Select a language";"Выберите язык"
"Text translation";"Перевод текста"
"Translations";"Переводы"
"Your translation";"Ваш перевод"
"Add a link";"Добавить ссылку"
"An error occurred while saving your picto. Please try againg later.";"Произошла ошибка в процессе сохранения пиктограммы. Пожалуйста, попробуйте чуть позже."
"Are you sure you want to delete this link?";"Вы уверены, что хотите удалить эту ссылку?"
"Are you sure you want to delete this picture?";"Вы уверены, что хотите удалить эту фотографию?"
"Link";"Ссылка"
"Link has been successfully deleted";"Ссылка была успешно удалена"
"Link has been successfully saved";"Ссылка была успешно сохранена"
"Link:";"Ссылка:"
"Picto";"Пиктограмма"
"The image has been successfully deleted";"Изображение было успешно удалено"
"The image has been successfully saved";"Изображение было успешно сохранены"
"Your links";"Ваши ссылки"
"An error occurred while accessing your Wordpress website. Please, verify the domain name %s";"Произошла ошибка при доступе к вашему веб-сайту Wordpress. Пожалуйста, проверьте доменное им %s"
"Categories successfully saved";"Категории успешно сохранены"
"Click here to download our Wordpress plugin";"Нажмите здесь, чтобы загрузить наш Wordpress плагин"
"Enter your Wordpress URL:";"Введите URL Wordpress:"
"Loading categories";"Загрузка категории"
"We are sorry but no category has been detected on your Wordpress website.";"Мы сожалеем, но ни одна категория не была обнаружена на вашем сайте Wordpress"
"We are sorry but our Wordpress plugin hasn't been detected on your website. Please be sure it is correctly installed and activated.";"Мы сожалеем, но наш плагин Wordpress не был обнаружен на вашем сайте. Пожалуйста, убедитесь, что он правильно установлен и активирован."
"Wordpress";"Wordpress"
