"Actions";"Azioni"
"Meal Voucher";"Buono pasto"
"Minimum order";"Ordine minimo"
"Minimum order:";"Ordine minimo:"
"My Cart";"Il mio carrello"
"My cart is empty";"Il mio carrello è vuoto"
"My categories";"Le mie categorie"
"My information";"Le mie informazioni"
"My orders";"I miei ordini"
"My product's categories";"Le mie categorie di prodotti"
"My product's options";"Le mie opzioni di prodotti"
"My products";"I miei prodotti"
"My stores";"Il mio negozio"
"My taxes";"Le mie tasse"
"Name of the options group:";"Il nome delle gruppo di opzioni:"
"New order from the application";"Un nuovo ordine dall'applicazione"
"Number";"Numero"
"Option name";"Nome opzione"
"Option name:";"Nome opzione:"
"Options";"Opzioni"
"Options group successfully deleted";"Gruppo di opzioni eliminato correttamente"
"Options group successfully saved";"Gruppo di opzioni salvato correttamente"
"Order %s cancelled";"Ordine %s cancellato"
"Order Number";"Numero ordine"
"Order confirmation";"Conferma ordine"
"Order details";"Dettagli ordine"
"Order successfully cancelled";"Ordine cancellato con successo"
"Order successfully saved";"Ordine salvato correttamente"
"Orders";"Ordini"
"Paid";"Pagato"
"Paid by the client:";"A carico del cliente :"
"Password";"Password"
"Password:";"Password:"
"Payment";"Pagamento"
"Payment Method";"Metodo di Pagamento"
"Payment methods:";"Metodi di pagamento:"
"Paypal";"Paypal"
"Pending payment";"Pagamento in attesa"
"Picture";"Immagine"
"Please choose a delivery method";"Scegli un metodo di spedizione"
"Please choose a payment method";"Scegli un metodo di pagamento"
"Please, enter an email address for the store %s";"Inserisci un indirizzo email per lo store %s"
"Price";"Prezzo"
"Price: %s";"Prezzo: %s"
"Printer successfully saved";"Stampante salvata con successo"
"Proceed";"Procedi"
"Product";"Prodotto"
"Product formats";"Formati del prodotto"
"Product name";"Nome prodotto"
"Product name:";"Nome prodotto:"
"Product successfully duplicated";"Prodotto duplicato correttamente"
"Product successfully saved";"Prodotto salvato correttamente"
"Qty";"Qt"
"Qty: %s";"Qt: %s"
"Radius in Km";"Raggio in km"
"Remaining amount due";"Restante importo dovuto"
"Remaining due";"Resto dovuto"
"Review";"Recensione"
"Settings";"Impostazioni"
"Settings successfully saved";"Configurazione salvata con successo"
"Show search fields on product list ?";"Vuoi mostrare la barra di ricerca nel catalogo prodotti?"
"Signature";"Signature"
"Signature:";"Signature:"
"Some mandatory fields are empty.";"Alcuni campi obbligatori sono vuoti ."
"Sorry we can't proceed to deliver your order. It has been canceled.";"Siamo spiacenti ma non possiamo procedere con il tuo ordine . Esso è stato annullato ."
"Status";"Stato"
"Store information";"Informazioni store"
"Store name";"Nome negozio"
"Store name:";"Nome negozio:"
"Store successfully deleted";"Store eliminato correttamente"
"Store successfully saved";"Store salvato correttamente"
"Stores";"Negozi"
"Subtotal";"Totale parziale"
"Tax";"Tassa"
"Tax name";"Nome tassa"
"Tax name:";"Nome tassa:"
"Tax rate";"Valore tassa"
"Tax rate:";"Valore tassa:"
"Tax successfully deleted";"Tassa eliminata correttamente"
"Tax successfully saved";"Tassa salvata correttamente"
"Tax:";"Tassa:"
"Thank you!";"Grazie"
"The clients calculate the change:";"Permetti al cliente di inserire il taglio di banconote con cui paga:"
"The delivery method";"Metodo di Spedizione"
"The following options are required:<br />%s";"Sono richieste le seguenti opzioni:<br />%s"
"The option %s is required";"L'opzione %s è richiesta"
"The payment has been cancelled, something wrong happened? Feel free to contact us";"Il pagamento è stato annullato, qualcosa non è andato a buon fine? Non esitate a contattarci"
"The payment method";"Metodo di Pagamento"
"Time in minutes";"Tempo in minuti"
"Total";"Totale"
"Total Excl. Tax";"Totale escluso IVA"
"Total Tax";"Totale IVA"
"Total: %s";"Totale: %s"
"Unable to proceed to checkout the minimum order amount is %s";"Impossibile procedere alla cassa, l'importo di ordine minimo è di %s"
"Unit Price";"Prezzo unitario"
"Unit price";"Prezzo unitario"
"Username";"Username"
"Username:";"Username"
"Waiting for payment";"In attesa di pagamento"
"We apologize but the payment method %s is currently not available";"Ci scusiamo ma il metodo di pagamento %s al momento non è disponibile"
"We thank you for your order. A confirmation email has been sent";"Vi ringraziamo per il vostro ordine. Una email di conferma è stata inviata"
"You don't have any categories yet";"Non hai ancora categorie"
"You have a connected printer? Enter the email address";"Si dispone di una stampante collegata? Inserisci l'indirizzo e-mail"
"You have a connected printer? Enter the email address for each store";"Si dispone di una stampante collegata? Inserisci l'indirizzo e-mail per ogni store"
"Your address";"Indirizzo"
"Your email address";"Indirizzo email"
"Your firstname";"Nome"
"Your lastname";"Cognome"
"Your phone number";"Telefono"
"e.g., Sauces";"es. salse o taglie"
"without taxes";"Senza tasse"
"%s by %s";"%s by %s"
"+ Add a track";"+ aggiungi un brano"
"Add albums and tracks to the playlist:";"Aggiungi gli album e i brani alla playlist"
"Album";"Album"
"Albums";"Albums"
"Albums:";"Albums:"
"An error occurred while deleting you images gallery. Please try again later.";"Si è verificato un errore durante l'eliminazione della galleria immagini. Riprova in seguito"
"An error occurred while deleting your album. Thanks for trying later.";"Si è verificato un errore durante l'eliminazione del vostro album. Riprova in seguito"
"An error occurred while deleting your playlist. Thanks for trying later.";"Si è verificato un errore durante l'eliminazione della vostra playlist. Riprova in seguito"
"An error occurred while deleting your track. Thanks for trying later.";"Si è verificato un errore durante l'eliminazione del vostro brano. Riprova in seguito"
"An error occurred while loading pictures. Please try later.";"Si è verificato un errore durante il caricamento delle immagini. Riprova in seguito"
"An error occurred while loading videos. Please try later.";"Si è verificato un errore durante il caricamento dei video. Riprova in seguito"
"An error occurred while saving your images gallery. Please try again later.";"Si è verificato un errore durante il salvataggio della galleria immagini . Riprova in seguito"
"An error occurred while saving your playlist. Thanks for trying later.";"Si è verificato un errore durante il salvataggio della vostra playlist. Riprova in seguito"
"An error occurred while saving your videos gallery. Please try again later.";"Si è verificato un errore durante il salvataggio della galleria video. Riprova in seguito"
"Are you sure you don't want to create an album for these tracks?";"Sei sicuro di non voler creare un album per questi brani?"
"Are you sure you don't want to create an album for this track?";"Sei sicuro di non voler creare un album per questo brano?"
"Are you sure you want to delete this album (this won't delete tracks)?";"Sei sicuro di voler eliminare questo album (questo non cancella i brani)?"
"Are you sure you want to delete this album?";"Sei sicuro di voler eliminare questo album?"
"Are you sure you want to delete this playlist?";"Sei sicuro di voler eliminare questa playlist?"
"Are you sure you want to delete this track?";"Sei sicuro di voler eliminare questo brano?"
"Artist";"Artista"
"Artist:";"Artista:"
"Audio";"Audio"
"Channel";"Canale"
"Choose an album";"Scegli un album"
"Custom";"Personalizza"
"Delete this gallery?";"Eliminare la galleria?"
"Feed URL";"Feed URL"
"Feed URL <span class=""required-entry"">*</span> :";"Feed URL <span class=""required-entry"">*</span> :"
"Gallery Name";"Nome galleria"
"Gallery Name <span class=""required-entry"">*</span> :";"Nome galleria <span class=""required-entry"">*</span> :"
"Group";"Gruppo"
"I'm listening to";"Sto ascoltando"
"Images gallery has been saved successfully";"La galleria immagini è stata salvata correttamente"
"Instagram";"Instagram"
"Last update:";"Ultimo aggiornamento:"
"Maximum size : 2000*2000 px - Allowed filetypes : jpg and png";"Dimensione massima : 2000*2000 px - file consentiti : jpg and png"
"My images";"Mie immagini"
"My pictures";"Mie immagini"
"No album found";"Album non trovato"
"No artist found";"Artista non trovato"
"No track found";"Brano non trovato"
"PLAYER";"PLAYER"
"Parameter";"Parametri"
"Parameter/Feed Url";"Parametri/Feed URL"
"Picasa";"Picasa"
"Picture%s";"Immagine %s"
"Playlist";"Playlist"
"Playlist successfully saved.";"Playlist salvata correttamente"
"Playlist title:";"Titolo playlist:"
"Playlists";"Playlists"
"Podcast";"Podcast"
"Podcast URL (iTunes format)";"Podcast URL (iTunes format)"
"Read all";"Leggi tutto"
"Required field";"Campo obbligatorio"
"Search/Url";"Search/URL"
"The entered name is not a valid Instagram user.";"Il nome inserito non è un utente di Instagram valido."
"This element is not an album.";"Questo elemento non è un album."
"Track";"Brano"
"Tracks";"Brani"
"Type";"Type"
"URL (.mp3):";"URL (.mp3):"
"Videos gallery has been saved successfully";"La galleria video è stata salvata correttamente"
"Vimeo";"Vimeo"
"buy";"Acquista"
"close";"chiudi"
"empty";"vuoto"
"from";"da"
"hide";"Nascondi"
"loop";"loop"
"music";"musica"
"next";"prossimo"
"on";"on"
"pause";"pausa"
"play";"play"
"previous";"prcedente"
"share";"condividi"
"shuffle";"trascina"
"track";"brano"
"tracks";"brani"
"Attach a file";"Allega un file"
"Attached files :";"Allega i file:"
"Load older messages";"Carica vecchi messaggi"
"Me";"Io"
"No messages for now.";"Nessun messaggio per il momento."
"Unknown";"Sconosciuto"
"You need to enter a message.";"Devi inserire un messaggio."
"Access restricted to authorized members only";"Accesso riservato solo agli utenti autorizzati"
"Allow all the users by default:";"Lasciare tutti gli utenti per impostazione predefinita:"
"Choose the features to lock:";"Scegli le funzioni da bloccare:"
"Lock the entire application?";"Bloccare l'intera applicazione?"
"Restrict Access";"Accesso riservato"
"We are sorry but your account does not have enough permissions to access this page";"Ci dispiace ma il tuo account non dispone di autorizzazioni sufficienti per accedere a questa pagina"
"the email address";"l'email"
"the first name";"il nome"
"the gender";"il genere"
"the last name";"il cognome"
"the password";"la password"
"Payments";"Pagamenti"
"<b>File types:</b> %s<br />";"<b>Tipi di file:</b> %s<br/>"
"Add";"Aggiungi"
"An error occurred during the process. Please try again later.";"Si è verificato un errore durante il processo. Per favore riprova più tardi."
"An error occurred while deleting your preview. Please try again later.";"Si è verificato un errore nella cancellazione della tua anteprima. Per favore riprova più tardi."
"An error occurred while saving your previews. Please try again later.";"Si è verificato un errore nel salvataggio della tua anteprima. Per favore riprova più tardi."
"Click here to send your image";"Clicca qui per inviare la tua immagine"
"Create a new preview";"Crea una nuova anteprima"
"Delete image";"Cancella l'immagine"
"Delete translation";"Cancella traduzione"
"Description";"Descrizione"
"Drag and drop images to reorder them.";"Trascina e rilascia le immagini per riordinarle."
"Drop your image here";"Inserisci la tua immagine qui"
"Edit the preview";"Modifica l'anteprima"
"Existing images :";"Immagini esistenti:"
"An error occurred while saving your discount. Please fill in all fields";"Si è verificato un errore durante il salvataggio dello sconto. Si prega di compilare tutti i campi"
"Are you sure you want to use this discount?";"Sei sicuro di voler utilizzare questo sconto?"
"Closed discounts";"Sconti chiusi"
"Create a new discount";"Creare nuovo sconto"
"Delete this discount?";"Eliminare questo sconto?"
"Discount successfully deleted";"Sconto eliminato correttamente"
"Discount successfully saved";"Sconto salvato correttamente"
"Do you want to use this coupon?";"Vuoi usare questo coupon?"
"Generate QRCode";"Genera qr code"
"On";"Accendi"
"Please select an end date greater than the current date.";"Seleziona una data posteriore a quella di oggi"
"This discount is now used";"Questo sconto è ora utilizzato"
"Valid Until";"Valido fino al"
"Valid until";"Valido fino al"
"You have already use this discount";"Hai già usato questo sconto"
"You must be logged in to use a discount";"Devi essere registrato per usare uno sconto"
"or illimited";"o illimitato"
"use only once";"usa solo una volta"
"you'll be able to remove this promotion later";"sarete in grado di rimuovere questa promozione più tardi"
"Additionnal Information";"Informazioni aggiuntive"
"An error occurred while deleting the push. Please try again later.";"Si è verificato un errore durante l'eliminazione della push. Si prega di riprovare più tardi."
"And a radius (in Km):";"E un raggio (in km):"
"Android";"Android"
"Creation date";"Data creazione"
"Custom URL";"URL"
"Enter a location:";"Inserisci una posizione:"
"GCM Key";"GCM key"
"I want to send it";"Voglio inviare"
"Keys successfully saved";"Keys salvate correttamente"
"Message";"Messaggio"
"Message:";"Messaggio:"
"No items.";"no articoli"
"Open a feature or a custom URL";"Allega una pagina dell'App o un URL"
"Pending";"In attesa"
"Push Notifications";"Notifica push"
"Push Notifications Settings";"Impostazioni notifiche push"
"Push successfully deleted.";"Push eliminata correttamente"
"Radius";"Raggio"
"Send to a specific location";"Invia ad una posizione specifica"
"Send to all my users";"Invia a tutti i miei users"
"Send to specific topics";"Invia ad argomenti specifici"
"Sender ID";"ID mittente"
"Sending date";"Data invio"
"The duration limit must be higher than the sent date";"La data limite di durata deve essere posteriore alla data di invio"
"Topics";"Argomenti"
"You must choose a topic before sending your message.";"Devi scegliere un argomento prima di inviare il Tuo messaggio"
"Your app must be published to send a push notification.";"L'app deve essere pubblicata per poter inviare notifiche push"
"Your message has been saved successfully and will be sent at the entered date";"Il messaggio è stato salvato con successo e verrà trasmesso alla data inserita"
"Your message has been saved successfully and will be sent in a few minutes";"Il messaggio è stato salvato con successo e verrà inviato in pochi minuti"
"Your message has been saved successfully.";"Il messaggio è stato salvato con successo"
"and users entering the area";"per gli utenti che sono nella zona indicata"
"for a limited period";"che saranno passati da quella zona fino al"
"now";"ora"
"on a specific date";"in una data specifica"
"An error occurred while saving your RSS feed";"Si è verificato un errore durante il salvataggio del feed RSS"
"Display feed pictures whenever possible";"Visualizza l'immagine del feed quando è possibile"
"Enter the URL of this RSS feed";"Inserisci l'URL di questo feed RSS"
"Found feeds";"Cerca feeds"
"No RSS feed could be found";"Nessun RSS feed trovato"
"RSS feed successfully saved";"RSS feed salvato correttamente"
"Show article";"Mostra articolo"
"day";"giorno"
"hour";"ora"
"minute";"minuti"
"Action";"Azione"
"App Name";"Nome App"
"Client";"Cliente"
"Date";"Data"
"Invoice";"Fattura"
"Invoice %s";"Fattura %s"
"Invoice N°";"Fattura N°"
"List of your invoices";"Lista delle tue fatture"
"My Invoices";"Le mie fatture"
"Order";"Ordine"
"Orders";"Ordini"
"Paid At";"Paga"
"Paid at:";"Paga:"
"Price Excl. Tax";"Prezzo IVA esclusa"
"Qty";"Quantità"
"This feature is not ready yet. Please try again later.";"Questa funzione non è ancora disponibile. Riprova più tardi"
"Total Excl. Tax";"Totale IVA esclusa"
"You don't have any invoices yet";"Non hai ancora nessuna fattura."
"An error occurred while loading the videos. Please try again later.";"Si è verificato un errore durante il caricamento dei video. Perfavore riprova più tardi."
"Enter your Facebook Fan Page Id";"Inserisci l'ID della tua pagina Facebook"
"Enter your Facebook Fan Page Id <span class=""required-entry""> *</span>:";"Inserisci l'ID della tua pagina Facebook <span class=""required-entry""> *</span>:"
"%s point%s";"%s punti%s"
"A month";"Un mese"
"A week";"Una settimana"
"Challengers";"Sfidanti"
"Current game";"Gioco in corso"
"Currently no challengers";"Al momento non ci sfidanti"
"Game Name";"Nome del Gioco"
"Game successfully saved";"Gioco salvato correttamente"
"Next game";"Prossimo gioco"
"On the";"Nel"
"Period";"Periodo"
"Periodicity";"Periodicità"
"Publication date";"Data di pubblicazione"
"Rank of the month";"Classifica del mese"
"Rank of the week";"Classifica della settimana"
"Team Leader";"Team leader"
"%s Subscription for %s";"%s Abbonamento per %s"
"<a href=""%s"">Click here</a> to go back to your applications list";"<a href=""%s"">Clicca qui</a> per<a href=""%s"">Clicca qui</a> per tornare alla lista delle tue applicazioni"
"Active";"Attiva"
"Address 1";"Indirizzo 1"
"Address 2";"Indirizzo 2"
"An error occurred while processing the payment. For more information, please feel free to contact us.";"Si è verificato un errore durante il pagamento. Per maggiori informazioni contattaci."
"An error occurred while processing your order. Please, check your 2Checkout credentials or try again later.";"Si è verificato un errore durante l'elaborazione dell'ordine. Controlla le Tue credenziali 2Checkout o riprova più tardi."
"An error occurred while processing your order. Please, try again later.";"Si è verificato un errore durante l'elaborazione dell'ordine. Riprova più tardi."
"An error occurred while saving. Please try again later";"Si è verificato un errore durante il salvataggio dell'ordine. Riprova più tardi."
"An error occurred while saving. The selected subscription is not valid.";"Si è verificato un errore durante il salvataggio dell'ordine. La sottoscrizione selezionata non è valida."
"Are you sure you want to delete this plan?";"Sei sicuro di voler sottoscrivere questo piano?"
"Be careful: a 2Checkout stopped recurrence can only be reactivated by a 2Checkout representative.";"Attenzione: un 2Checkout bloccato può essere riattivato solo da un rappresentante 2Checkout."
"Billing Address";"Indirizzo di fatturazione"
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">to our terms and conditions</a>";"Selezionando questa casella, tu accetti <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">i termini e le condizioni</a>"
"Charged to your client every month";"Cambia prezzo ogni mese"
"Charged to your client every year";"Cambia prezzo ogni anno"
"Charged to your client when placing the order";"Carica il Tuo Cliente al momento dell'ordine"
"Choose the subscription that suits you best:";"Scegli l'abbonamento più adatto a te"
"Choose your Payment method";"Scegli il metodo di pagamento"
"City";"Città"
"Create a new subscription";"Crea un nuovo abbonamento"
"Creation";"Crea"
"Describe here this plan. Will be displayed on the front end";"Descrivi qui questo piano, sarò visibile nel front end"
"Each price must be entered excluding tax";"Ogni prezzo deve essere inserito tasse escluse"
"Edit the subscription %s";"Modifica l'abbonamento %s"
"Expiration";"Scadenza"
"Expiration date";"Data di scadenza"
"Give a name to this plan. Will be displayed on the front end";"Dai un nome al piano. Sarà visibile nel front end"
"List of your plans";"Lista dei tuoi piani"
"List of your subscriptions";"Lista dei tuoi abbonamenti"
"No recurring line items to stop.";"Non ci sono elementi da fermare"
"None";"Nessuno"
"One-off";"Una sola volta"
"Order's details";"Dettagli dell'ordine"
"Payment";"Pagamento"
"Payment Method:";"Metodo di pagamento:"
"Payment Option";"Opzioni di pagamento"
"Payment secured by <img src=""%s"" width=""100"" title=""2Checkout"" />";"Pagamento sicuro by <img src=""%s"" width=""100"" title=""2Checkout"" />"
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />";"Pagamento sicuro by <img src=""%s"" width=""100"" title=""Paypal"" />"
"Please, enter a company";"Inserisci il nome dell'azienda"
"Please, enter a country";"Inserisci la tua Nazione"
"Please, enter a description.";"Inserisci una descrizione"
"Please, enter a name.";"Inserisci il nome"
"Please, enter an address";"Inserisci l'indirizzo"
"Pricing";"Prezziario"
"Proceed to payment?";"Procedere al pagamento?"
"Recurring";"Ricorrente"
"Setup Fee";"Costo pubblicazione"
"Setup fee";"Costo pubblicazione"
"Sorry, but no payment method was found.";"Spiacenti, non è stato trovato alcun metodo di pagamento"
"State/Province";"Provincia"
"Subscription";"Abbonamento"
"Subscription successfully saved";"Abbonamento salvato con successo"
"Subtotal";"Subtotale"
"Thanks!";"Grazie!"
"The monthly price is not a valid price (e.g. 12.34)";"Il prezzo mensile non è un prezzo valido (es 12.34"
"The setup fee is not a valid price (e.g. 12.34)";"Il costo di attivazione non è un prezzo valido (ad esempio 12.34 )"
"The yearly price is not a valid price (e.g. 12.34)";"Il prezzo annuale non è un prezzo valido (es 12.34 )"
"This subscription is active";"Questo abbonamento è attivo"
"VAT Number";"Partita IVA"
"You already have a subscription for this application";"Non hai ancora un abbonamento per questa applicazione"
"You are almost done! After subscribing, your app can be published on both the AppStore and the Google Play.";"Hai quasi finito! Dopo la sottoscrizione, la vostra applicazione può essere pubblicato sia sul AppStore e Google Play."
"You don't have any subscriptions yet";"Non hai ancora nessun abbonamento"
"Your VAT Number is not valid";"La partita IVA non è valida"
"Your order has been canceled. If you need any help to place your order, please feel free to contact us.";"L'ordine è stato annullato. Se avete bisogno di aiuto per effettuare l'ordine, non esitate a contattarci."
"Your order has been successfully paid. Your application will be published very soon.";"L'ordine è stato pagato con successo. L'applicazione sarà pubblicata nei tempi previsti"
"Your subscription must have at least one price";"L'abbonamento deve avere almeno un prezzo"
"Zip Code";"CAP"
"price";"Prezzo"
"List of your taxes";"Lista delle Tue tasse"
"Please select a country";"Seleziona un paese"
"Please, enter a tax rate.";"Perfavore,inserisci un'aliquota fiscale"
"Please, enter a valid tax rate.";"Perfavore,inserisci una'aliquota fiscale valida"
"Rate";"Aliquota"
"Remove";"Rimuovi"
"You don't have created any taxes yet";"Non hai ancora creato nessuna aliquota fiscale"
"All";"Tutti"
"Choose a template to customize";"Scegli il template da personalizzare"
"City";"Città"
"Education";"Educazione"
"Entertainment";"Intrattenimento"
"Fashion";"Fashion"
"Health & Beauty";"Salute & Bellezza"
"Hotels";"Hotel"
"List of your categories";"Lista delle tue categorie"
"Local Business";"Local business"
"Music";"Musica"
"Organizations";"Organizzazioni"
"Real Estate";"Immobiliare"
"Sports";"Sport"
"TEMPLATES";"Templates"
"Are you sure you want to close without saving?";"Sei sicuro di voler chiudere senza salvare?"
"Are you sure you want to delete this category and all its subcategories?";"Sei sicuro di voler cancellare questa categoria e tutte le sottocategorie?"
"Description";"Descrizione"
"Description successfully saved.";"Descrizione salvata correttamente"
"Manage Topics";"Gestisci Argomenti"
"No topics for now.";"Non ci sono Argomenti"
"Page description";"Descrizione pagina"
"Save";"Salva"
"Subscribe";"Aderisci"
"Add a link";"Aggiungi un link"
"An error occurred while saving your picto. Please try againg later.";"Si è verificato un errore durante il caricamento dell'immagine. Riprova più tardi."
"Are you sure you want to delete this link?";"Sei sicuro di voler eliminare questo link?"
"Are you sure you want to delete this picture?";"Sei sicuro di voler eliminare questa immagine"
"Link";"Link"
"Link has been successfully deleted";"Link eliminato correttamente"
"Link has been successfully saved";"Link salvato correttamente"
"Picto";"Immagine"
"The image has been successfully deleted";"Immagine cancellata correttamente"
"The image has been successfully saved";"Immagine salvata correttamente"
"Your links";"I Tuoi link"
"An error occurred while accessing your Wordpress website. Please, verify the domain name %s";"Si è verificato un errore durante il caricamento del Tuo sito Wordpress. Verifica il nome dominio %s"
"Categories successfully saved";"Categorie salvate correttamente"
"Click here to download our Wordpress plugin";"Clicca qui per scaricare il plugin Wordpress"
"Enter your Wordpress URL:";"Inserisci l'URL del tuo sito Wordpress:"
"Loading categories";"Caricamento categorie"
"We are sorry but no category has been detected on your Wordpress website.";"Siamo spiacenti , ma nessuna categoria è stata rilevata sul Tuo sito Wordpress ."
"We are sorry but our Wordpress plugin hasn't been detected on your website. Please be sure it is correctly installed and activated.";"Siamo spiacenti ma il nostro plugin Wordpress non è stato rilevato sul tuo sito web . Si prega di assicurarsi che sia installato correttamente e attivato"
