%s - Your new password;%s – Yeni şifreniz
you'll be able to remove this promotion later;Daha sonra bu promosyonu kaldırmak mümkün olacak
Additionnal Information;Ek bilgi
And a radius (in Km):;Ve bir yarıçap (Km):
Android;Android
Creation date;Oluşturma tarihi
Enter a location:;Bir lokasyon girin:
GCM Key;GCM Anahtarı
I want to send it;Göndermek istiyorum
Keys successfully saved;Anahtar başarıyla kaydedildi
Message;Mesaj
Message:;Mesaj:
Pending;Bekliyor
Push Notifications;Bildirim gönderme
Push Notifications Settings;Bildirim gönderme ayarları
Radius;Yarıçap
Send to a specific location;Özel bir lokasyona gönderin
Send to all my users;Tüm kullanıcılarıma yolla
Sender ID;Yollayan ID
Sending date;Yollama tarihi
The duration limit must be higher than the sent date;Gönderme süresi gönderme tarihinden sonraki bir tarih olmalıdır
Your app must be published to send a push notification.;Bildirim gönderebilmeniz için app nizin yayınlanmış olması gereklidir.
Your message has been saved successfully and will be sent at the entered date;Mesajınız başarıyla kaydedildi ve girilen tarihte gönderilecektir
Your message has been saved successfully and will be sent in a few minutes;Mesajınız başarıyla kaydedildi ve bir kaç dakika içinde gönderilecektir
and users entering the area;ve kullanıcıların alanına giren
for a limited period;sınırlı bir süre için
now;şimdi
on a specific date;özel bir tarihte
%s ago;%s önce
An error occurred while saving your RSS feed;RSS beslemesi kaydedilirken bir hata oluştu
Display feed pictures whenever possible;Ekran geribesleme resimleri herzaman mümkün
Enter the URL of this RSS feed;Bu RSS beslemesine URL'sini girin
Found feeds;Bulunan beslemeler
No RSS feed could be found;RSS besleme bulunamadı
RSS feed successfully saved;RSS beslemesi başarıyla kaydedildi
Show article;Makale göster
day;gün
hour;saat
minute;dakika
Action;Eylem
App Name;App Adı
Client;Müşteri
Date;Tarih
Invoice;Fatura
Invoice %s;Fatura %s
Invoice N°;Fatura N°
List of your invoices;Faturalarınızın listesi
My Invoices;Faturalarım
Order;Sipariş
Orders;Siparişler
Paid At;te ödendi
Paid at:;te ödendi:
Price Excl. Tax;Vergi hariç fiyat
Qty;miktar
This feature is not ready yet. Please try again later.;Bu özellik henüz hazır değil. Daha sonra tekrar deneyiniz.
Total Excl. Tax;Vergiler haric toplam tutar
You don't have any invoices yet;Henüz faturanız yok
An error occurred while loading the videos. Please try again later.;Video yüklenirken bir hata oluştu. Daha sonra tekrar deneyiniz.
Enter your Facebook Fan Page Id;Facebook Fan Sayfası ID sini girin
"Enter your Facebook Fan Page Id <span class=""required-entry""> *</span>:";"Facebook Fan Sayfası ID sini girin <span class=""required-entry""> *</span>:"
%s point%s;%s puan%s
A month;Bir ay
A week;Bir hafta
Challengers;Yarışmacılar
Current game;Mevcut oyun
Currently no challengers;Yarışmacı yok
Game Name;Oyun ismi
Game successfully saved;Oyun başarıyla kaydedildi
Next game;Sonraki oyun
On the;Üstünde
Period;Dönem
Periodicity;Dönemsel
Publication date;Yayınlanma tarihi
Rank of the month;Ayın derecesi
Rank of the week;Haftanın derecesi
Team Leader;Tim Lideri
Source Code;Kaynak Kodu
Insert your HTML code:;HTML kodu ekleyin:
%s Subscription for %s;%s için üyelik %s
"<a href=""%s"">Click here</a> to go back to your applications list";"<a href=""%s"">Aplikasyonlar listenize dönmek için</a> tıklayınız"
Active;Aktif
An error occurred while processing your order. Please, try again later.;Sipariş işlenirken bir hata oluştu. Daha sonra tekrar deneyin.
An error occurred while saving. Please try again later;Kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz
An error occurred while saving. The selected subscription is not valid.;Kaydedilirken bir hata oluştu. Seçilen abonelik geçerli değil.
Are you sure you want to delete this plan?;Bu planı silmek istediğinizden emin misiniz?
Billing Address;Fatura adresi
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">to our terms and conditions</a>";"Kutuyu işaretleyerek <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">koşul ve kurallarımızı kabul etmiş olursunuz</a>"
Charged to your client every month;Aylık ücretlendirin
Charged to your client every year;Yıllık ücretlendirin
Charged to your client when placing the order;Sipariş verildiğinde ücretlendir.
Choose the subscription that suits you best:;Size en uygun aboneliği seçin:
Create a new subscription;Yeni bir abonelik oluştur
Creation;Oluşturuluş
Describe here this plan. Will be displayed on the front end;Burada bu planı açıklayın. Ön uçta görüntülenir
Each price must be entered excluding tax;Her fiyat vergisi hariç girilmelidir
Edit the subscription %s;Aboneliği düzenleyin %s
Expiration;Bitiş
Expiration date;Bitiş tarihi
Give a name to this plan. Will be displayed on the front end;Bu plana bir isim verin. Ön uçta görüntülenir
List of your plans;Planlarınızın listesi
List of your subscriptions;Aboneleriinizin listesi
None;Hiçbiri
One-off;Kapalı
Order's details;Sipariş detayları
Payment;Ödeme
Payment Option;Ödeme seçenekleri
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />";"Güvenli ödeme <img src=""%s"" width=""100"" title=""Paypal"" />"
Please, enter a company;Bir şirket girin
Please, enter a country;Bir ülke girin
Please, enter a description.;Bir açıklama girin.
Please, enter a name.;İsim girin
Please, enter an address;Adres girin
Pricing;Ücretlendirme
Proceed to payment?;Ödeme yapılsın mı?
Recurring;Yenileme
Setup Fee;Kurulum Ücreti
Setup fee;Kurulum Ücreti
Subscription;Abonelik
Subscription successfully saved;Abonelik başarıyla kaydedildi
Subtotal;Alt toplam
Thanks!;Teşekkürler!
The monthly price is not a valid price (e.g. 12.34);Aylık fiyat geçerli bir fiyat değil (örneğin 12,34)
The setup fee is not a valid price (e.g. 12.34);Kurulum ücreti geçerli bir fiyat değil (örneğin 12,34)
The yearly price is not a valid price (e.g. 12.34);Yıllık fiyat geçerli bir fiyat değil (örneğin 12,34)
This subscription is active;Bu abonelik aktif
An error occurred while processing the payment. For more information, please feel free to contact us.;Ödeme işlenirken bir hata oluştu. Daha fazla bilgi için, bizimle temas kurmaktan çekinmeyin.
VAT Number;KDV Numarası
You already have a subscription for this application;Zaten bu uygulama için bir aboneliğiniz var
You don't have any subscriptions yet;Henüz hiç abonelikleri yok
You're almost done! After subscribing, we will publish your application on both the AppStore and the Google Play.;Neredeyse bitirdiniz! Abone olduktan sonra, App Store ve Google Play de hem yayınlayacağız.
Your VAT Number is not valid;KDV Numaranız geçerli değil
Your order has been canceled. If you need any help to place your order, please feel free to contact us.;Siparişiniz iptal edildi. Eğer sipariş için herhangi bir yardıma ihtiyacınız varsa, bizimle temas kurmaktan çekinmeyin lütfen.
Your order has been successfully paid. Your application will be published very soon.;Siparişiniz başarıyla ödenmiştir. Başvurunuz çok yakında yayınlanacaktır.
Your subscription must have at least one price;Aboneliğiniz en az bir fiyata sahip olmalıdır
price;fiyat
<b>File types:</b> %s<br /><b>Recommended size:</b> %s;<b>Dosya çeşidi:</b> %s<br /><b>Grekli alan:</b> %s
Click here to send your favicon;Favicon göndermek için buraya tıklayın
Click here to send your logo;Logonuzu göndermek için buraya tıklayın
Communications;İletişim
Current favicon;Güncel favicon
Current logo;Güncel logos
Display a link to your clients to your support platform;Destek platformu için müşterilerine bir bağlantı görüntüler
Drop your favicon here;Buraya favicon bırakın
Drop your logo here;Buraya logo bırakın
Sales;Satışlar
Sales Email Address;Satış E-posta Adresi
Sender's email address of the emails sent by the site to your clients;Müşterilerinize site tarafından gönderilen e-postaların Gönderenin e-posta adresi
Sender's name of the emails sent by the site to your clients;Müşterilerinize site tarafından gönderilen e-postaların Gönderenin ismi
Support Email Address;Destek E-posta Adresi
The folder /images/default is not writable.;Klasör / resimler / varsayılan yazılabilir değil.
Your Location;Lokasyonunuz
Your Platform;Platformunuz
Your company;Şirketiniz
List of your taxes;Vergilerinizin listesi
Please select a country;Lütfen bir ülke seçin
Please, enter a tax rate.;Bir vergi oranı girin.
Please, enter a valid tax rate.;Geçerli bir vergi oranı girin.
Rate;Oran
Remove;Kaldır
You don't have created any taxes yet;Henüz herhangi bir vergi oluşturlmadı
TEMPLATES;ŞABLONLAR
Create a new language;Yeni bir dil oluştur
Default text;Varsayılan metin
Edit the language: %s;Dil düzenleyin:%s
Language;Dil
Language successfully saved;Dil başarıyla kaydedildi
List of your languages;Dillerinizin listesi
Please, choose a file.;Lütfen bir dosya seçin.
Please, choose a language.;Lütfen bir dil seçin
Select a file;Bir dosya seçin.
Select a language;Bir dil seçin
Text translation;Metin çevirisi
Translations;Çeviriler
Your translation;Çeviriniz
Add a link;Bir link ekle
An error occurred while saving your picto. Please try againg later.;Resminiz kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz.
Are you sure you want to delete this link?;Bu bağlantıyı silmek istediğinizden emin misiniz?
Are you sure you want to delete this picture?;Bu resmi silmek istediğinizden emin misiniz?
Link;Link
Link has been successfully deleted;Bağlantı başarıyla silindi
Link has been successfully saved;Bağlantı başarıyla kaydedildi
Link:;Link:
Picto;Resim
The image has been successfully deleted;Görüntü başarıyla silindi
The image has been successfully saved;Görüntü başarıyla kaydedildi
Your links;Linkleriniz
An error occurred while accessing your Wordpress website. Please, verify the domain name %s;Wordpress web sitesine erişim sırasında bir hata oluştu. Alan adı% s kontrol edin
Categories successfully saved;Kategori başarıyla kaydedildi
Click here to download our Wordpress plugin;Wordpress eklentimizi indirmek için tıklayınız
Enter your Wordpress URL:;Wordpress URL'sini girin:
Loading categories;Yükleme kategorileri
We are sorry but no category has been detected on your Wordpress website.;Üzgünüz ama hiçbir kategori Wordpress web sitesinde tespit edilemedi.
We are sorry but our Wordpress plugin hasn't been detected on your website. Please be sure it is correctly installed and activated.;Üzgünüz ama bizim Wordpress eklentisi web sitenizde tespit edilmemiştir. Doğru yüklenmiş ve etkinleştirilmiş olduğundan emin olun.
Wordpress;Wordpress
